"","X","Participant","Group","firstSample","Val","Condition","in_samples","out_samples","In.Est","Out.Est"
"304",304,"R_3lGqiZdBEHz0JlS","Dem",0,"neg",2,7,6,65,77
"305",305,"R_3LiNdi3WehEwuMd","Dem",1,"pos",3,3,3,73,61
"306",306,"R_3lQfZYYHp8eF2Om","Dem",1,"neg",2,2,0,60,60
"307",307,"R_3lsEiTBRfTeCazG","Dem",0,"pos",1,6,7,63,68
"308",308,"R_3lzxT9RkN9MSifv","Dem",1,"neg",3,22,18,63,59
"309",309,"R_3M3TnzX3OGcrQH2","Dem",0,"pos",2,5,5,60,64
"310",310,"R_3M6A7IPjrtmGkGb","Dem",0,"neg",2,5,5,75,65
"311",311,"R_3MGqlIcsx1NZ2i7","Dem",1,"neg",1,5,5,50,67
"312",312,"R_3mn8XGeaBWwx6wB","Dem",0,"neg",3,3,3,60,60
"313",313,"R_3Mtk8Ab1ta3BHyy","Dem",1,"neg",2,0,3,56,51
"314",314,"R_3My8uoXDhKCrc2A","Dem",0,"neg",3,4,3,67,67
"315",315,"R_3NCZgUdkRxHwBrv","Dem",0,"pos",1,0,9,68,61
"316",316,"R_3NHSnCYOoTUirDM","Dem",0,"neg",1,5,4,65,73
"317",317,"R_3niTvNlY7fQ3NF9","Dem",1,"pos",3,6,6,70,65
"318",318,"R_3nivP9VbxHsUaVr","Dem",1,"neg",3,6,6,72,63
"319",319,"R_3NKSxSx30wKkJ0C","Dem",0,"pos",3,1,1,72,60
"320",320,"R_3nl3ZCxaFxvN8Ax","Dem",0,"pos",2,11,8,68,66
"321",321,"R_3nuUoQmZV1pUA7W","Dem",1,"neg",2,6,6,64,61
"322",322,"R_3nvZYhAjKXVd7Xh","Dem",0,"neg",3,6,8,68,62
"323",323,"R_3O9y804q15Ocxyn","Dem",1,"neg",1,3,0,55,61
