"","X","Participant","imp","Val","Condition","group","in_samples","out_samples","firstSample","In.Est","Out.Est"
"630",630,"R_1Qg9wa0Yd7FysjU","posIngroup","pos",1,"rep",2,2,0,75,66
"631",631,"R_1QKmF35HWkT8LM1","negOutgroup","neg",1,"rep",0,2,1,59,74
"632",632,"R_1QLOAS89i9hqA8Y","posOutgroup","pos",2,"rep",0,5,0,76,51
"633",633,"R_1QLp36ddFSkdee5","posIngroup","pos",2,"rep",0,2,0,56,82
"634",634,"R_1Qu9IUazdE0573b","posIngroup","pos",2,"rep",10,13,0,64,68
"635",635,"R_1QuWKVWke298Soj","negOutgroup","neg",1,"rep",2,1,0,57,58
"636",636,"R_1r0tYqlpR6g3hV3","posOutgroup","pos",1,"rep",5,5,0,59,71
"637",637,"R_1r1U4zkojdEF2A6","negIngroup","neg",3,"rep",2,2,1,65,72
"638",638,"R_1r6e1vOuuyOcnP9","posOutgroup","pos",2,"rep",7,8,1,62,54
"639",639,"R_1rBMmw1AIR3SXsa","negOutgroup","neg",1,"rep",5,5,1,64,73
"640",640,"R_1rBWCuVfXTT1sRV","posIngroup","pos",1,"rep",3,2,0,61,74
"641",641,"R_1rcAJPOPjdF0Pbp","negIngroup","neg",2,"rep",3,0,0,61,39
"642",642,"R_1rMOJxrP92hVHng","negOutgroup","neg",2,"rep",1,1,0,74,70
"643",643,"R_20MYePiertBvSwm","negIngroup","neg",2,"rep",4,4,0,65,47
"644",644,"R_20SPJFMi4N3xOEd","posOutgroup","pos",1,"rep",5,0,1,59,71
"645",645,"R_21sxYGFW9FoTqIX","negOutgroup","neg",1,"rep",4,0,1,70,85
"646",646,"R_21uMXouDp9FPJpY","negOutgroup","neg",2,"rep",3,3,0,66,44
"647",647,"R_21vqxUTzrxj2zUN","negOutgroup","neg",2,"rep",3,5,0,59,47
"648",648,"R_22DlI6HuYwdr9B8","negOutgroup","neg",3,"rep",5,5,1,64,71
"649",649,"R_22FE6qzqfHNV3Dd","negIngroup","neg",1,"rep",2,2,0,45,22
"650",650,"R_22KCRcaTPqw7FW5","posIngroup","pos",3,"rep",4,2,0,87,65
"651",651,"R_22L0Damem0Lyd95","negOutgroup","neg",2,"rep",3,3,1,60,53
"652",652,"R_22MvMiH0kift1S4","posIngroup","pos",2,"rep",6,7,0,68,58
"653",653,"R_22WIlGzBEM8N9jq","posIngroup","pos",1,"rep",2,0,0,54,58
"654",654,"R_23ag3hx5Y5k5T3o","negOutgroup","neg",2,"rep",9,9,0,63,65
"655",655,"R_23W7tNtDHRAxdHM","posOutgroup","pos",3,"rep",1,5,0,83,68
"656",656,"R_24FPnpEFSAO9KAN","negOutgroup","neg",1,"rep",3,3,0,71,38
"657",657,"R_24ki4rMy1kj2KGg","posIngroup","pos",3,"rep",9,9,0,69,61
"658",658,"R_24pCJkeVYMxiUnI","posIngroup","pos",2,"rep",7,7,0,56,57
"659",659,"R_24pes2LazEbjqpD","posOutgroup","pos",3,"rep",1,6,0,73,64
"660",660,"R_24uQlZ3SFuHQd9A","negIngroup","neg",2,"rep",0,1,0,81,85
"661",661,"R_25LdX0Jc7If1U8O","posIngroup","pos",1,"rep",1,1,0,54,65
"662",662,"R_25RXd3o3kbHDsbp","negOutgroup","neg",3,"rep",2,2,1,72,43
"663",663,"R_268ChAyndvMqX4K","negIngroup","neg",3,"rep",5,2,1,21,18
"664",664,"R_26baUxAZ12JYXBz","posIngroup","pos",1,"rep",4,4,0,70,46
"665",665,"R_26uch5BmI2Gm7LP","posIngroup","pos",2,"rep",4,6,1,78,58
"666",666,"R_279hBtaxsnHJDjJ","negIngroup","neg",2,"rep",5,7,0,65,75
"668",668,"R_27eWRePnNn9Yp29","negOutgroup","neg",3,"rep",2,2,1,39,57
"669",669,"R_27OSjmqo6pbldOV","negIngroup","neg",2,"rep",4,4,0,75,58
"670",670,"R_27QgKeeKaNv2GyD","posIngroup","pos",2,"rep",0,4,0,72,50
"671",671,"R_27x7GxG7nEU47MJ","posIngroup","pos",1,"rep",5,5,0,74,57
"672",672,"R_28Ty9GUWJ43SmQQ","posOutgroup","pos",1,"rep",3,3,0,64,64
"673",673,"R_298jJEvDO4jRXXz","negIngroup","neg",2,"rep",5,0,0,75,54
"674",674,"R_29bJ632FIZAmt7x","posIngroup","pos",2,"rep",1,1,1,59,54
"675",675,"R_29tXz7V1xCa94Nu","posIngroup","pos",1,"rep",2,1,1,77,84
"676",676,"R_2abFILyi1zWAyTK","negOutgroup","neg",2,"rep",6,5,0,68,62
