"","X","Participant","honesty_Q","totMturkStudies","totEconStudies","totPsychStudies","age","gender","education","income","Pol.Affil","threat1","threat2","Q1350","Q.B_P.status_1","Q.B_P.status_2","imp","Val","Condition","HH","EX","Att","NFC","ethnicity","group","n_trials","in_samples","out_samples","In.Est","Out.Est"
"375",375,"R_3proevqoQN5JyxD",4,"2","0","0",24,1,2,7,2,4,4,6,62,5,"negIngroup","neg",1,4.6,3.9,1,3.05882352941176,0,"dem",21,11,10,53,39
"376",376,"R_3pshtFpuceKmcpG",5,"600","10","40",35,1,6,1,1,1,1,4,50,50,"negIngroup","neg",1,4,3.8,0,4.58823529411765,0,"dem",18,11,7,58,70
"377",377,"R_3psxMG5KfZvJS0u",6,"15000","1000","500",30,1,5,7,3,6,5,5,32,73,"negIngroup","neg",1,4.9,3.9,2,3.23529411764706,0,"dem",20,10,10,56,78
"378",378,"R_3ptjHGyd0xfbyjx",6,"200","5","60",37,1,5,2,2,4,4,2,62,45,"negIngroup","neg",3,3.3,2.2,1,3.82352941176471,0,"dem",2,1,1,69,63
"379",379,"R_3pyVLxMqz1NtKAF",5,"100","20","30",27,1,4,7,1,6,7,6,81,73,"negOutgroup","neg",2,4.3,4.2,1,2.82352941176471,0,"dem",2,1,1,65,71
"380",380,"R_3PZiIxj5pypWUPs",7,"1000","50","200",37,0,4,7,1,4,4,6,70,40,"negIngroup","neg",1,5.1,5.6,0,3.35294117647059,0,"dem",9,5,4,71,60
"381",381,"R_3qBEB3jZSPsR51N",7,"I think something like 100","30","20",27,0,2,4,2,4,3,4,72,26,"negIngroup","neg",1,4.2,1.9,0,3.70588235294118,0,"dem",2,2,0,45,61
"382",382,"R_3qBsXZonOa0NvQV",7,"24000","1000","1000",66,1,3,7,3,2,5,4,74,85,"posOutgroup","pos",3,3.8,5.2,1,3.35294117647059,0,"dem",16,8,8,71,63
"383",383,"R_3qg7tvkQghIP0bu",7,"3400","1000","1000",57,0,4,3,2,1,1,5,51,51,"posIngroup","pos",2,4.5,4.7,0,3.23529411764706,0,"dem",13,13,0,70,44
"384",384,"R_3qII3DDtuxsh24H",6,"500","50","50",39,0,4,7,1,2,2,5,75,55,"posOutgroup","pos",2,4.2,3.7,0,3.88235294117647,0,"dem",12,6,6,60,66
"385",385,"R_3qJBHSNgo0HZ2Rx",6,"1600","20","25",35,1,4,4,2,3,4,5,65,70,"posIngroup","pos",1,4.2,5.6,1,3.64705882352941,1,"dem",30,13,17,75,74
"386",386,"R_3QlNfZwzOOQeZsl",6,"14500","3000","5000",35,1,5,7,3,3,3,5,46,56,"posIngroup","pos",1,4.8,3.3,1,3.88235294117647,0,"dem",15,7,8,50,60
"387",387,"R_3qTKYSmyMCGMl8a",7,"900","5","200",41,0,4,3,3,2,3,2,55,45,"negIngroup","neg",2,4,3,0,3.41176470588235,0,"dem",4,2,2,65,75
"388",388,"R_3QWO8nPu2oVaHyE",5,"200","50","150",41,1,1,3,3,4,4,3,34,71,"negIngroup","neg",1,2.9,3.1,1,4.58823529411765,0,"dem",10,5,5,75,65
"389",389,"R_3rGLXATHqTRfZJD",6,"1200","Unsure","250",36,1,4,4,1,1,1,4,50,70,"negIngroup","neg",3,3.4,3.1,0,3.64705882352941,0,"dem",8,4,4,70,50
"390",390,"R_3RmCykuh6SeCLYn",6,"1000","100","600",52,0,4,5,2,2,2,5,45,60,"posIngroup","pos",2,5.4,4.1,0,4.29411764705882,0,"dem",6,4,2,62,62
"391",391,"R_3RsJs1t5AOwSi14",6,"1200","150","20",25,0,2,7,2,3,2,5,41,80,"posOutgroup","pos",2,4.4,3.9,1,3.35294117647059,0,"dem",8,4,4,63,67
"392",392,"R_3rULRFNbNPwg9l8",6,"15,074","100","100",38,0,2,1,1,1,1,7,50,50,"negOutgroup","neg",1,4.8,3.5,1,3.58823529411765,0,"dem",6,3,3,80,35
"393",393,"R_3Rxcry2y8pWFCFG",6,"1050","1","25",63,0,2,2,1,2,2,5,70,45,"posIngroup","pos",3,3.7,4,0,3.05882352941176,1,"dem",12,6,6,65,49
"394",394,"R_3shv3iJhfY5m52W",6,"6000","100","1000",45,1,4,4,2,3,3,5,50,50,"posOutgroup","pos",1,4.8,3.7,0,3.58823529411765,0,"dem",5,3,2,64,72
"395",395,"R_3spmG4OneExPDlW",5,"5000","50","1000",41,0,5,5,2,4,4,2,50,50,"posIngroup","pos",2,5.6,2.8,0,1.23529411764706,0,"dem",25,12,13,70,65
"396",396,"R_3W8teT7gcM4cm8V",5,"2100","300","700",32,0,5,6,1,2,2,7,72,68,"posOutgroup","pos",1,4,3.9,1,3.29411764705882,0,"dem",14,7,7,60,73
"397",397,"R_40cRWDWRq05PRIJ",5,"2000","100","300",49,0,2,1,1,2,3,5,59,81,"negIngroup","neg",1,3.8,2.9,1,3.11764705882353,0,"dem",6,3,3,55,60
"398",398,"R_41GKTIP2qXCMB3j",7,"300","10","200",27,0,4,3,1,1,1,6,60,85,"posIngroup","pos",3,5.4,3.8,0,4,0,"dem",10,5,5,70,65
"399",399,"R_4MBlsuD1gnpXwmR",6,"200","5","50",43,0,2,6,2,2,2,6,50,50,"negIngroup","neg",1,5.5,3.6,0,3.64705882352941,0,"dem",9,5,4,57,72
